Latitude,Longitude
-1.1892,36.9089
-1.2613,36.8918
0.0000,0.0000
0.1982,35.1353
0.0000,0.0000
0.0000,0.0000
-1.2613,37.0000
-4.0180,39.7012
-0.1081,34.7929
-4.0360,39.6298
-1.2793,36.7839
0.0000,0.0000
0.2703,34.6851
-1.3874,37.2542
-4.0541,39.6488
-1.2793,36.8921
0.0000,0.0000
-1.2432,36.9456
-4.0000,39.7003
-1.2432,36.9456
-1.2793,36.9461
-1.7658,37.7116
-1.2432,36.9276
-3.9640,39.7166
-4.0000,39.5739
-1.4054,36.8039
-1.2793,36.7479
-1.2973,36.7482
-0.2883,36.1086
0.6126,34.4164
0.6486,35.0293
-1.2613,36.9098
-1.2793,36.9101
-1.2793,36.8741
-1.2793,36.8921
0.0000,0.0000
0.5045,35.2446
-3.2252,40.1176
-0.7748,35.3185
-1.2793,36.9101
0.5946,34.4883
0.5405,35.2989
-0.6306,34.8850
-1.3694,36.9295
-1.2613,37.3784
0.0000,0.0000
0.3784,34.8116
0.5586,35.2629
0.0000,0.0000
-0.3964,39.7487
-1.3694,36.9295
